t_ms,spL,vL,uL,dacL,spR,vR,uR,dacR
3901065,0.000,0.000,0.0,0,0.000,0.000,0.0,0
3901505,0.000,0.000,0.0,0,0.000,0.000,0.0,0
3901545,0.000,0.000,0.0,0,0.000,0.000,0.0,0
3901585,0.000,0.000,0.0,0,0.000,0.000,0.0,0
3901625,0.000,0.000,0.0,0,0.000,0.000,0.0,0
3901665,0.000,0.000,0.0,0,0.000,0.000,0.0,0
3901705,0.000,0.000,0.0,0,0.000,0.000,0.0,0
3901745,0.000,0.000,0.0,0,0.000,0.000,0.0,0
3901785,0.000,0.000,0.0,0,0.000,0.000,0.0,0
3901825,0.000,0.000,0.0,0,0.000,0.000,0.0,0
3901865,0.000,0.000,0.0,0,0.000,0.000,0.0,0
3901905,0.000,0.000,0.0,0,0.000,0.000,0.0,0
3901945,0.000,0.000,0.0,0,0.000,0.000,0.0,0
3901985,0.000,0.000,0.0,0,0.000,0.000,0.0,0
3902025,0.000,0.000,0.0,0,0.000,0.000,0.0,0
3902065,0.000,0.000,0.0,0,0.000,0.000,0.0,0
3902105,0.000,0.000,0.0,0,0.000,0.000,0.0,0
3902145,0.000,0.000,0.0,0,0.000,0.000,0.0,0
3902185,0.000,0.000,0.0,0,0.000,0.000,0.0,0
3902225,0.000,0.000,0.0,0,0.000,0.000,0.0,0
3902265,0.000,0.000,0.0,0,0.000,0.000,0.0,0
3902305,0.000,0.000,0.0,0,0.000,0.000,0.0,0
3902345,0.000,0.000,0.0,0,0.000,0.000,0.0,0
3902385,0.000,0.000,0.0,0,0.000,0.000,0.0,0
3902425,0.000,0.000,0.0,0,0.000,0.000,0.0,0
3902465,0.000,0.000,0.0,0,0.000,0.000,0.0,0
3902505,0.000,0.000,0.0,0,0.000,0.000,0.0,0
3902545,0.000,0.000,0.0,0,0.000,0.000,0.0,0
3902585,0.000,0.000,0.0,0,0.000,0.000,0.0,0
3902625,0.000,0.000,0.0,0,0.000,0.000,0.0,0
3902665,0.000,0.000,0.0,0,0.000,0.000,0.0,0
3902705,0.000,0.000,0.0,0,0.000,0.000,0.0,0
3902745,0.000,0.000,0.0,0,0.000,0.000,0.0,0
3902785,0.000,0.000,0.0,0,0.000,0.000,0.0,0
3902825,0.000,0.000,0.0,0,0.000,0.000,0.0,0
3902865,0.000,0.000,0.0,0,0.000,0.000,0.0,0
3902905,0.000,0.000,0.0,0,0.000,0.000,0.0,0
3902945,0.000,0.000,0.0,0,0.000,0.000,0.0,0
3902985,0.000,0.000,0.0,0,0.000,0.000,0.0,0
3903025,0.000,0.000,0.0,0,0.000,0.000,0.0,0
3903065,0.000,0.000,0.0,0,0.000,0.000,0.0,0
3903105,0.000,0.000,0.0,0,0.000,0.000,0.0,0
3903145,0.000,0.000,0.0,0,0.000,0.000,0.0,0
