t_ms,spL,vL,uL,dacL,spR,vR,uR,dacR
542385,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
542425,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
542465,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
542505,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
542545,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
542585,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
542625,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
542665,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
542705,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
542745,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
542785,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
542825,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
542865,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
542905,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
542945,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
542985,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
543025,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
543065,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
543105,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
543145,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
543185,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
543225,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
543265,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
543305,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
543345,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
543385,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
543425,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
543465,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
543505,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
543545,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
543585,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
543625,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
543665,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
543705,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
543745,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
543785,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
543825,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
543865,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
543905,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
543945,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
543985,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
544025,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
544065,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
544105,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
544145,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
544185,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
544225,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
544265,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
544305,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
544345,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
544385,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
544425,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
544465,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
544505,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
544545,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
544585,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
544625,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
544665,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
544705,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
544745,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
544785,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
544825,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
544865,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
544905,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
544945,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
544985,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
545025,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
545065,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
545105,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
545145,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
545185,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
545225,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
545265,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
545305,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
545345,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
545385,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
545425,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
545465,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
545505,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
545545,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
545585,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
545625,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
545665,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
545705,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
545745,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
545785,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
545825,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
545865,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
545905,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
545945,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
545985,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
546025,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
546065,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
546105,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
546145,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
546185,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
546225,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
546265,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
546305,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
546345,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
546385,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
546425,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
546465,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
546505,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
546545,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
546585,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
546625,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
546665,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
546705,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
546745,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
546785,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
546825,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
546865,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
546905,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
546945,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
546985,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
547025,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
547065,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
547105,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
547145,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
547185,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
547225,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
547265,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
547305,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
547345,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
547385,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
547425,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
547465,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
547505,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
547545,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
547585,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
547625,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
547665,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
547705,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
547745,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
547785,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
547825,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
547865,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
547905,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
547945,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
547985,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
548025,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
548065,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
548105,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
548145,0.000,0.000,0.0,0,0.000,-0.000,0.0,0
