t_ms,dt_us,min_us,max_us,mean_us,deadline_misses,cycles,stack_free_bytes
648325,20000,19897,20004,20000.0,0,32400,3348
649325,20000,19897,20004,20000.0,0,32450,3348
650325,20000,19897,20004,20000.0,0,32500,3348
651325,20000,19897,20004,20000.0,0,32550,3348
652325,20000,19897,20004,20000.0,0,32600,3348
653325,20000,19897,20004,20000.0,0,32650,3348
654325,20000,19897,20004,20000.0,0,32700,3348
655325,20000,19897,20004,20000.0,0,32750,3348
656325,20000,19897,20004,20000.0,0,32800,3348
657325,20000,19897,20004,20000.0,0,32850,3348
658325,20000,19897,20004,20000.0,0,32900,3348
659325,20000,19897,20004,20000.0,0,32950,3348
660325,20000,19897,20004,20000.0,0,33000,3348
661325,20000,19897,20004,20000.0,0,33050,3348
662325,20000,19897,20004,20000.0,0,33100,3348
663325,20000,19897,20004,20000.0,0,33150,3348
664325,20000,19897,20004,20000.0,0,33200,3348
665325,20000,19897,20004,20000.0,0,33250,3348
666325,20000,19897,20004,20000.0,0,33300,3348
667325,20000,19897,20004,20000.0,0,33350,3348
668325,20000,19897,20004,20000.0,0,33400,3348
669325,20000,19897,20004,20000.0,0,33450,3348
670325,20000,19897,20004,20000.0,0,33500,3348
671325,20000,19897,20004,20000.0,0,33550,3348
672325,20000,19897,20004,20000.0,0,33600,3348
673325,20000,19897,20004,20000.0,0,33650,3348
674325,20000,19897,20004,20000.0,0,33700,3348
675325,20000,19897,20004,20000.0,0,33750,3348
676325,20000,19897,20004,20000.0,0,33800,3348
677325,20000,19897,20004,20000.0,0,33850,3348
678325,20000,19897,20004,20000.0,0,33900,3348
679325,20000,19897,20004,20000.0,0,33950,3348
680325,20000,19897,20004,20000.0,0,34000,3348
681325,20000,19897,20004,20000.0,0,34050,3348
682325,20000,19897,20004,20000.0,0,34100,3348
683325,20000,19897,20004,20000.0,0,34150,3348
684325,20000,19897,20004,20000.0,0,34200,3348
685325,20000,19897,20004,20000.0,0,34250,3348
686325,20000,19897,20004,20000.0,0,34300,3348
687325,20000,19897,20004,20000.0,0,34350,3348
688325,20000,19897,20004,20000.0,0,34400,3348
689325,20000,19897,20004,20000.0,0,34450,3348
690325,20000,19897,20004,20000.0,0,34500,3348
691325,20000,19897,20004,20000.0,0,34550,3348
692325,20000,19897,20004,20000.0,0,34600,3348
693325,20000,19897,20004,20000.0,0,34650,3348
694325,20000,19897,20004,20000.0,0,34700,3348
695325,20000,19897,20004,20000.0,0,34750,3348
696325,20000,19897,20004,20000.0,0,34800,3348
697325,20000,19897,20004,20000.0,0,34850,3348
698325,20000,19897,20004,20000.0,0,34900,3348
699325,20000,19897,20004,20000.0,0,34950,3348
700325,20000,19897,20004,20000.0,0,35000,3348
701325,20000,19897,20004,20000.0,0,35050,3348
702325,20000,19897,20004,20000.0,0,35100,3348
703325,20000,19897,20004,20000.0,0,35150,3348
704325,20000,19897,20004,20000.0,0,35200,3348
705325,20000,19897,20004,20000.0,0,35250,3348
706325,20000,19897,20004,20000.0,0,35300,3348
707325,20000,19897,20004,20000.0,0,35350,3348
708325,20000,19897,20004,20000.0,0,35400,3348
709325,20000,19897,20004,20000.0,0,35450,3348
710325,20000,19897,20004,20000.0,0,35500,3348
711325,20000,19897,20004,20000.0,0,35550,3348
712325,20000,19897,20004,20000.0,0,35600,3348
713325,20000,19897,20004,20000.0,0,35650,3348
714325,20000,19897,20004,20000.0,0,35700,3348
715325,20000,19897,20004,20000.0,0,35750,3348
716325,20000,19897,20004,20000.0,0,35800,3348
717325,20000,19897,20004,20000.0,0,35850,3348
718325,20000,19897,20004,20000.0,0,35900,3348
719325,20000,19897,20004,20000.0,0,35950,3348
720325,20000,19897,20004,20000.0,0,36000,3348
721325,20000,19897,20004,20000.0,0,36050,3348
722325,20000,19897,20004,20000.0,0,36100,3348
723325,20000,19897,20004,20000.0,0,36150,3348
724325,20000,19897,20004,20000.0,0,36200,3348
725325,20000,19897,20004,20000.0,0,36250,3348
726325,20000,19897,20004,20000.0,0,36300,3348
727325,20000,19897,20004,20000.0,0,36350,3348
728325,20000,19897,20004,20000.0,0,36400,3348
729325,20000,19897,20004,20000.0,0,36450,3348
730325,20000,19897,20004,20000.0,0,36500,3348
731325,20000,19897,20004,20000.0,0,36550,3348
732325,20000,19897,20004,20000.0,0,36600,3348
733325,20000,19897,20004,20000.0,0,36650,3348
734325,20000,19897,20004,20000.0,0,36700,3348
735325,20000,19897,20004,20000.0,0,36750,3348
736325,20000,19897,20004,20000.0,0,36800,3348
737325,20000,19897,20004,20000.0,0,36850,3348
738325,20000,19897,20004,20000.0,0,36900,3348
739325,20000,19897,20004,20000.0,0,36950,3348
740325,20000,19897,20004,20000.0,0,37000,3348
741325,20000,19897,20004,20000.0,0,37050,3348
742325,20000,19897,20004,20000.0,0,37100,3348
743325,20000,19897,20004,20000.0,0,37150,3348
744325,20000,19897,20004,20000.0,0,37200,3348
745325,20000,19897,20004,20000.0,0,37250,3348
746325,20000,19897,20004,20000.0,0,37300,3348
747325,20000,19897,20004,20000.0,0,37350,3348
