t_ms,dt_us,min_us,max_us,mean_us,deadline_misses,cycles,stack_free_bytes
2811325,20000,19897,20004,20000.0,0,140550,3344
2812325,20000,19897,20004,20000.0,0,140600,3344
2813325,20000,19897,20004,20000.0,0,140650,3344
2814325,20000,19897,20004,20000.0,0,140700,3344
2815325,20000,19897,20004,20000.0,0,140750,3344
2816325,20000,19897,20004,20000.0,0,140800,3344
2817325,20000,19897,20004,20000.0,0,140850,3344
2818325,20000,19897,20004,20000.0,0,140900,3344
2819325,20000,19897,20004,20000.0,0,140950,3344
2820325,20000,19897,20004,20000.0,0,141000,3344
2821325,20000,19897,20004,20000.0,0,141050,3344
2822325,20000,19897,20004,20000.0,0,141100,3344
2823325,20000,19897,20004,20000.0,0,141150,3344
2824325,20000,19897,20004,20000.0,0,141200,3344
2825325,20000,19897,20004,20000.0,0,141250,3344
2826325,20000,19897,20004,20000.0,0,141300,3344
2827325,20000,19897,20004,20000.0,0,141350,3344
2828325,20000,19897,20004,20000.0,0,141400,3344
2829325,20000,19897,20004,20000.0,0,141450,3344
2830325,20000,19897,20004,20000.0,0,141500,3344
2831325,20000,19897,20004,20000.0,0,141550,3344
2832325,20000,19897,20004,20000.0,0,141600,3344
2833325,20000,19897,20004,20000.0,0,141650,3344
2834325,20000,19897,20004,20000.0,0,141700,3344
2835325,20000,19897,20004,20000.0,0,141750,3344
2836325,20000,19897,20004,20000.0,0,141800,3344
2837325,20000,19897,20004,20000.0,0,141850,3344
2838325,20000,19897,20004,20000.0,0,141900,3344
2839325,20000,19897,20004,20000.0,0,141950,3344
2840325,20000,19897,20004,20000.0,0,142000,3344
2841325,20000,19897,20004,20000.0,0,142050,3344
2842325,20000,19897,20004,20000.0,0,142100,3344
2843325,20000,19897,20004,20000.0,0,142150,3344
2844325,20000,19897,20004,20000.0,0,142200,3344
2845325,20000,19897,20004,20000.0,0,142250,3344
2846325,20000,19897,20004,20000.0,0,142300,3344
2847325,20000,19897,20004,20000.0,0,142350,3344
2848325,20000,19897,20004,20000.0,0,142400,3344
2849325,20000,19897,20004,20000.0,0,142450,3344
2850325,20000,19897,20004,20000.0,0,142500,3344
2851325,20000,19897,20004,20000.0,0,142550,3344
2852325,20000,19897,20004,20000.0,0,142600,3344
2853325,20000,19897,20004,20000.0,0,142650,3344
2854325,20000,19897,20004,20000.0,0,142700,3344
2855325,20000,19897,20004,20000.0,0,142750,3344
2856325,20000,19897,20004,20000.0,0,142800,3344
2857325,20000,19897,20004,20000.0,0,142850,3344
2858325,20000,19897,20004,20000.0,0,142900,3344
2859325,20000,19897,20004,20000.0,0,142950,3344
2860325,20000,19897,20004,20000.0,0,143000,3344
2861325,20000,19897,20004,20000.0,0,143050,3344
2862325,20000,19897,20004,20000.0,0,143100,3344
