t_ms,dt_us,min_us,max_us,mean_us,deadline_misses,cycles,stack_free_bytes
3902325,20000,19897,20008,20000.0,0,195100,3344
3903325,20000,19897,20008,20000.0,0,195150,3344
3904325,20000,19897,20008,20000.0,0,195200,3344
3905325,20000,19897,20008,20000.0,0,195250,3344
3906325,20000,19897,20008,20000.0,0,195300,3344
3907325,20000,19897,20008,20000.0,0,195350,3344
3908325,20000,19897,20008,20000.0,0,195400,3344
3909325,20000,19897,20008,20000.0,0,195450,3344
3910325,20000,19897,20008,20000.0,0,195500,3344
3911325,20000,19897,20008,20000.0,0,195550,3344
3912325,20000,19897,20008,20000.0,0,195600,3344
3913325,20000,19897,20008,20000.0,0,195650,3344
3914325,20000,19897,20008,20000.0,0,195700,3344
3915325,20000,19897,20008,20000.0,0,195750,3344
3916325,20000,19897,20008,20000.0,0,195800,3344
3917325,20000,19897,20008,20000.0,0,195850,3344
3918325,20000,19897,20008,20000.0,0,195900,3344
3919325,20000,19897,20008,20000.0,0,195950,3344
3920325,20000,19897,20008,20000.0,0,196000,3344
3921325,20000,19897,20008,20000.0,0,196050,3344
3922325,20000,19897,20008,20000.0,0,196100,3344
3923325,20000,19897,20008,20000.0,0,196150,3344
3924325,20000,19897,20008,20000.0,0,196200,3344
3925325,20000,19897,20008,20000.0,0,196250,3344
3926325,20000,19897,20008,20000.0,0,196300,3344
3927325,20000,19897,20008,20000.0,0,196350,3344
3928325,20000,19897,20008,20000.0,0,196400,3344
3929325,20000,19897,20008,20000.0,0,196450,3344
3930325,20000,19897,20008,20000.0,0,196500,3344
3931325,20000,19897,20008,20000.0,0,196550,3344
3932325,20000,19897,20008,20000.0,0,196600,3344
3933325,20000,19897,20008,20000.0,0,196650,3344
3934325,20000,19897,20008,20000.0,0,196700,3344
3935325,20000,19897,20008,20000.0,0,196750,3344
3936325,20000,19897,20008,20000.0,0,196800,3344
3937325,20000,19897,20008,20000.0,0,196850,3344
3938325,20000,19897,20008,20000.0,0,196900,3344
3939325,20000,19897,20008,20000.0,0,196950,3344
3940325,20000,19897,20008,20000.0,0,197000,3344
3941325,20000,19897,20008,20000.0,0,197050,3344
3942325,20000,19897,20008,20000.0,0,197100,3344
3943325,20000,19897,20008,20000.0,0,197150,3344
3944325,20000,19897,20008,20000.0,0,197200,3344
3945325,20000,19897,20008,20000.0,0,197250,3344
3946325,20000,19897,20008,20000.0,0,197300,3344
3947325,20000,19897,20008,20000.0,0,197350,3344
3948325,20000,19897,20008,20000.0,0,197400,3344
3949325,20000,19897,20008,20000.0,0,197450,3344
3950325,20000,19897,20008,20000.0,0,197500,3344
3951325,20000,19897,20008,20000.0,0,197550,3344
3952325,20000,19897,20008,20000.0,0,197600,3344
3953325,20000,19897,20008,20000.0,0,197650,3344
3954325,20000,19897,20008,20000.0,0,197700,3344
3955325,20000,19897,20008,20000.0,0,197750,3344
3956325,20000,19897,20008,20000.0,0,197800,3344
3957325,20000,19897,20008,20000.0,0,197850,3344
3958325,20000,19897,20008,20000.0,0,197900,3344
3959325,20000,19897,20008,20000.0,0,197950,3344
3960325,20000,19897,20008,20000.0,0,198000,3344
3961325,20000,19897,20008,20000.0,0,198050,3344
3962325,20000,19897,20008,20000.0,0,198100,3344
3963325,20000,19897,20008,20000.0,0,198150,3344
3964325,20000,19897,20008,20000.0,0,198200,3344
3965325,20000,19897,20008,20000.0,0,198250,3344
3966325,20000,19897,20008,20000.0,0,198300,3344
3967325,20000,19897,20008,20000.0,0,198350,3344
3968325,20000,19897,20008,20000.0,0,198400,3344
3969325,20000,19897,20008,20000.0,0,198450,3344
3970325,20000,19897,20008,20000.0,0,198500,3344
3971325,20000,19897,20008,20000.0,0,198550,3344
3972325,20000,19897,20008,20000.0,0,198600,3344
3973325,20000,19897,20008,20000.0,0,198650,3344
3974325,20001,19897,20008,20000.0,0,198700,3344
3975325,20000,19897,20008,20000.0,0,198750,3344
3976325,20000,19897,20008,20000.0,0,198800,3344
3977325,20000,19897,20008,20000.0,0,198850,3344
3978325,20000,19897,20008,20000.0,0,198900,3344
3979325,20000,19897,20008,20000.0,0,198950,3344
3980325,20000,19897,20008,20000.0,0,199000,3344
3981325,20000,19897,20008,20000.0,0,199050,3344
3982325,20000,19897,20008,20000.0,0,199100,3344
3983325,20000,19897,20008,20000.0,0,199150,3344
3984325,20000,19897,20008,20000.0,0,199200,3344
3985325,20000,19897,20008,20000.0,0,199250,3344
3986325,20000,19897,20008,20000.0,0,199300,3344
3987325,20000,19897,20008,20000.0,0,199350,3344
3988325,20000,19897,20008,20000.0,0,199400,3344
3989325,20000,19897,20008,20000.0,0,199450,3344
3990325,20000,19897,20008,20000.0,0,199500,3344
3991325,20000,19897,20008,20000.0,0,199550,3344
3992325,20000,19897,20008,20000.0,0,199600,3344
3993325,20000,19897,20008,20000.0,0,199650,3344
3994325,20000,19897,20008,20000.0,0,199700,3344
3995325,20000,19897,20008,20000.0,0,199750,3344
3996325,20000,19897,20008,20000.0,0,199800,3344
3997325,20000,19897,20008,20000.0,0,199850,3344
3998325,20000,19897,20008,20000.0,0,199900,3344
3999325,20000,19897,20008,20000.0,0,199950,3344
4000325,20000,19897,20008,20000.0,0,200000,3344
4001325,20000,19897,20008,20000.0,0,200050,3344
4002325,20000,19897,20008,20000.0,0,200100,3344
4003325,20000,19897,20008,20000.0,0,200150,3344
4004325,20000,19897,20008,20000.0,0,200200,3344
4005325,20000,19897,20008,20000.0,0,200250,3344
4006325,20000,19897,20008,20000.0,0,200300,3344
4007325,20000,19897,20008,20000.0,0,200350,3344
4008325,20000,19897,20008,20000.0,0,200400,3344
4009325,20000,19897,20008,20000.0,0,200450,3344
4010325,20000,19897,20008,20000.0,0,200500,3344
4011325,20000,19897,20008,20000.0,0,200550,3344
4012325,20000,19897,20008,20000.0,0,200600,3344
4013325,20000,19897,20008,20000.0,0,200650,3344
4014325,20000,19897,20008,20000.0,0,200700,3344
4015325,20000,19897,20008,20000.0,0,200750,3344
4016325,20000,19897,20008,20000.0,0,200800,3344
4017325,20000,19897,20008,20000.0,0,200850,3344
4018325,20000,19897,20008,20000.0,0,200900,3344
4019325,20000,19897,20008,20000.0,0,200950,3344
4020325,20000,19897,20008,20000.0,0,201000,3344
4021325,20000,19897,20008,20000.0,0,201050,3344
4022325,20000,19897,20008,20000.0,0,201100,3344
4023325,20000,19897,20008,20000.0,0,201150,3344
4024325,20000,19897,20008,20000.0,0,201200,3344
4025325,20000,19897,20008,20000.0,0,201250,3344
4026325,20000,19897,20008,20000.0,0,201300,3344
4027325,20000,19897,20008,20000.0,0,201350,3344
4028325,20000,19897,20008,20000.0,0,201400,3344
4029325,20000,19897,20008,20000.0,0,201450,3344
4030325,20000,19897,20008,20000.0,0,201500,3344
4031325,20000,19897,20008,20000.0,0,201550,3344
4032325,20000,19897,20008,20000.0,0,201600,3344
4033325,20000,19897,20008,20000.0,0,201650,3344
4034325,20000,19897,20008,20000.0,0,201700,3344
4035325,20000,19897,20008,20000.0,0,201750,3344
4036325,20000,19897,20008,20000.0,0,201800,3344
4037325,20000,19897,20008,20000.0,0,201850,3344
4038325,20000,19897,20008,20000.0,0,201900,3344
4039325,20000,19897,20008,20000.0,0,201950,3344
4040325,20000,19897,20008,20000.0,0,202000,3344
4041325,20000,19897,20008,20000.0,0,202050,3344
4042325,20000,19897,20008,20000.0,0,202100,3344
4043325,20000,19897,20008,20000.0,0,202150,3344
4044325,20000,19897,20008,20000.0,0,202200,3344
4045325,20000,19897,20008,20000.0,0,202250,3344
4046325,20000,19897,20008,20000.0,0,202300,3344
4047325,20000,19897,20008,20000.0,0,202350,3344
4048325,20000,19897,20008,20000.0,0,202400,3344
4049325,20000,19897,20008,20000.0,0,202450,3344
4050325,20000,19897,20008,20000.0,0,202500,3344
4051325,20000,19897,20008,20000.0,0,202550,3344
4052325,20000,19897,20008,20000.0,0,202600,3344
4053325,20000,19897,20008,20000.0,0,202650,3344
4054325,20000,19897,20008,20000.0,0,202700,3344
4055325,20000,19897,20008,20000.0,0,202750,3344
4056325,20000,19897,20008,20000.0,0,202800,3344
4057325,20000,19897,20008,20000.0,0,202850,3344
4058325,20000,19897,20008,20000.0,0,202900,3344
4059325,20000,19897,20008,20000.0,0,202950,3344
4060325,20000,19897,20008,20000.0,0,203000,3344
4061325,20000,19897,20008,20000.0,0,203050,3344
4062325,20000,19897,20008,20000.0,0,203100,3344
4063325,20000,19897,20008,20000.0,0,203150,3344
4064325,20000,19897,20008,20000.0,0,203200,3344
4065325,20000,19897,20008,20000.0,0,203250,3344
4066325,20000,19897,20008,20000.0,0,203300,3344
4067325,20000,19897,20008,20000.0,0,203350,3344
4068325,20000,19897,20008,20000.0,0,203400,3344
4069325,20000,19897,20008,20000.0,0,203450,3344
4070325,20000,19897,20008,20000.0,0,203500,3344
4071325,20000,19897,20008,20000.0,0,203550,3344
4072325,20000,19897,20008,20000.0,0,203600,3344
4073325,20000,19897,20008,20000.0,0,203650,3344
4074325,20000,19897,20008,20000.0,0,203700,3344
4075325,20000,19897,20008,20000.0,0,203750,3344
4076325,20000,19897,20008,20000.0,0,203800,3344
4077325,20000,19897,20008,20000.0,0,203850,3344
4078325,20000,19897,20008,20000.0,0,203900,3344
4079325,20000,19897,20008,20000.0,0,203950,3344
4080325,20000,19897,20008,20000.0,0,204000,3344
4081325,20000,19897,20008,20000.0,0,204050,3344
4082325,20000,19897,20008,20000.0,0,204100,3344
4083325,20000,19897,20008,20000.0,0,204150,3344
4084325,20000,19897,20008,20000.0,0,204200,3344
4085325,20000,19897,20008,20000.0,0,204250,3344
4086325,20000,19897,20008,20000.0,0,204300,3344
4087325,20000,19897,20008,20000.0,0,204350,3344
4088325,20000,19897,20008,20000.0,0,204400,3344
4089325,20000,19897,20008,20000.0,0,204450,3344
4090325,20000,19897,20008,20000.0,0,204500,3344
4091325,20000,19897,20008,20000.0,0,204550,3344
4092325,20000,19897,20008,20000.0,0,204600,3344
4093325,20000,19897,20008,20000.0,0,204650,3344
4094325,20000,19897,20008,20000.0,0,204700,3344
4095325,20000,19897,20008,20000.0,0,204750,3344
4096325,20000,19897,20008,20000.0,0,204800,3344
4097325,20000,19897,20008,20000.0,0,204850,3344
4098325,20000,19897,20008,20000.0,0,204900,3344
4099325,20000,19897,20008,20000.0,0,204950,3344
4100325,20000,19897,20008,20000.0,0,205000,3344
4101325,20000,19897,20008,20000.0,0,205050,3344
4102325,20000,19897,20008,20000.0,0,205100,3344
4103325,20000,19897,20008,20000.0,0,205150,3344
4104325,20000,19897,20008,20000.0,0,205200,3344
4105325,20000,19897,20008,20000.0,0,205250,3344
4106325,20000,19897,20008,20000.0,0,205300,3344
4107325,20000,19897,20008,20000.0,0,205350,3344
4108325,20000,19897,20008,20000.0,0,205400,3344
4109325,20000,19897,20008,20000.0,0,205450,3344
4110325,20000,19897,20008,20000.0,0,205500,3344
4111325,20000,19897,20008,20000.0,0,205550,3344
4112325,20000,19897,20008,20000.0,0,205600,3344
4113325,20000,19897,20008,20000.0,0,205650,3344
4114325,20000,19897,20008,20000.0,0,205700,3344
4115325,20000,19897,20008,20000.0,0,205750,3344
4116325,20000,19897,20008,20000.0,0,205800,3344
4117325,20000,19897,20008,20000.0,0,205850,3344
4118325,20000,19897,20008,20000.0,0,205900,3344
4119325,20000,19897,20008,20000.0,0,205950,3344
4120325,20000,19897,20008,20000.0,0,206000,3344
4121325,20000,19897,20008,20000.0,0,206050,3344
4122325,20000,19897,20008,20000.0,0,206100,3344
4123325,20000,19897,20008,20000.0,0,206150,3344
4124325,20000,19897,20008,20000.0,0,206200,3344
4125325,20000,19897,20008,20000.0,0,206250,3344
4126325,20000,19897,20008,20000.0,0,206300,3344
4127325,20000,19897,20008,20000.0,0,206350,3344
4128325,20000,19897,20008,20000.0,0,206400,3344
4129325,20000,19897,20008,20000.0,0,206450,3344
4130325,20000,19897,20008,20000.0,0,206500,3344
4131325,20000,19897,20008,20000.0,0,206550,3344
4132325,20000,19897,20008,20000.0,0,206600,3344
4133325,20000,19897,20008,20000.0,0,206650,3344
4134325,20000,19897,20008,20000.0,0,206700,3344
4135325,20000,19897,20008,20000.0,0,206750,3344
4136325,20000,19897,20008,20000.0,0,206800,3344
4137325,20000,19897,20008,20000.0,0,206850,3344
4138325,20000,19897,20008,20000.0,0,206900,3344
4139325,20000,19897,20008,20000.0,0,206950,3344
4140325,20000,19897,20008,20000.0,0,207000,3344
4141325,20000,19897,20008,20000.0,0,207050,3344
4142325,20000,19897,20008,20000.0,0,207100,3344
4143325,20000,19897,20008,20000.0,0,207150,3344
4144325,20000,19897,20008,20000.0,0,207200,3344
4145325,20000,19897,20008,20000.0,0,207250,3344
4146325,20000,19897,20008,20000.0,0,207300,3344
4147325,20000,19897,20008,20000.0,0,207350,3344
4148325,20000,19897,20008,20000.0,0,207400,3344
4149325,20000,19897,20008,20000.0,0,207450,3344
4150325,20000,19897,20008,20000.0,0,207500,3344
4151325,20000,19897,20008,20000.0,0,207550,3344
4152325,20000,19897,20008,20000.0,0,207600,3344
4153325,20000,19897,20008,20000.0,0,207650,3344
4154325,20000,19897,20008,20000.0,0,207700,3344
4155325,20000,19897,20008,20000.0,0,207750,3344
4156325,20000,19897,20008,20000.0,0,207800,3344
4157325,20000,19897,20008,20000.0,0,207850,3344
4158325,20000,19897,20008,20000.0,0,207900,3344
4159325,20000,19897,20008,20000.0,0,207950,3344
4160325,20000,19897,20008,20000.0,0,208000,3344
4161325,20000,19897,20008,20000.0,0,208050,3344
4162325,20000,19897,20008,20000.0,0,208100,3344
4163325,20000,19897,20008,20000.0,0,208150,3344
4164325,20000,19897,20008,20000.0,0,208200,3344
4165325,20000,19897,20008,20000.0,0,208250,3344
4166325,20000,19897,20008,20000.0,0,208300,3344
4167325,20000,19897,20008,20000.0,0,208350,3344
4168325,20000,19897,20008,20000.0,0,208400,3344
4169325,20000,19897,20008,20000.0,0,208450,3344
4170325,20000,19897,20008,20000.0,0,208500,3344
4171325,20000,19897,20008,20000.0,0,208550,3344
4172325,20000,19897,20008,20000.0,0,208600,3344
4173325,20000,19897,20008,20000.0,0,208650,3344
4174325,20000,19897,20008,20000.0,0,208700,3344
4175325,20000,19897,20008,20000.0,0,208750,3344
4176325,20000,19897,20008,20000.0,0,208800,3344
4177325,20000,19897,20008,20000.0,0,208850,3344
4178325,20000,19897,20008,20000.0,0,208900,3344
4179325,20000,19897,20008,20000.0,0,208950,3344
4180325,20000,19897,20008,20000.0,0,209000,3344
4181325,20000,19897,20008,20000.0,0,209050,3344
4182325,20000,19897,20008,20000.0,0,209100,3344
4183325,20000,19897,20008,20000.0,0,209150,3344
4184325,20000,19897,20008,20000.0,0,209200,3344
4185325,20000,19897,20008,20000.0,0,209250,3344
4186325,20000,19897,20008,20000.0,0,209300,3344
4187325,20000,19897,20008,20000.0,0,209350,3344
4188325,20000,19897,20008,20000.0,0,209400,3344
4189325,20000,19897,20008,20000.0,0,209450,3344
4190325,20000,19897,20008,20000.0,0,209500,3344
4191325,20000,19897,20008,20000.0,0,209550,3344
4192325,20000,19897,20008,20000.0,0,209600,3344
4193325,20000,19897,20008,20000.0,0,209650,3344
4194325,20000,19897,20008,20000.0,0,209700,3344
4195325,20000,19897,20008,20000.0,0,209750,3344
4196325,20000,19897,20008,20000.0,0,209800,3344
4197325,20000,19897,20008,20000.0,0,209850,3344
4198325,20000,19897,20008,20000.0,0,209900,3344
4199325,20000,19897,20008,20000.0,0,209950,3344
4200325,20000,19897,20008,20000.0,0,210000,3344
4201325,20000,19897,20008,20000.0,0,210050,3344
4202325,20000,19897,20008,20000.0,0,210100,3344
4203325,20000,19897,20008,20000.0,0,210150,3344
4204325,20000,19897,20008,20000.0,0,210200,3344
4205325,20000,19897,20008,20000.0,0,210250,3344
4206325,20000,19897,20008,20000.0,0,210300,3344
4207325,20000,19897,20008,20000.0,0,210350,3344
4208325,20000,19897,20008,20000.0,0,210400,3344
4209325,20000,19897,20008,20000.0,0,210450,3344
4210325,20000,19897,20008,20000.0,0,210500,3344
4211325,20000,19897,20008,20000.0,0,210550,3344
